text,created_at,retweet_count,like_count
RT @Txrobbin: @mattrife Best beginning of tour. Great show. Thank you and the guys for a great performance. https://t.co/LRD5WNVkq9,2025-03-11 04:07:36+00:00,18,0
"RT @KPRC2: Thousands were excited to see Matt Rife at the Toyota Center, but were in for a pleasant surprise by Alief's own, Mo Amer before…",2025-03-10 08:42:45+00:00,24,0
"RT @YouGewdBro: What a show @mattrife killed it, when you are back in H-Town I'm definitely going to see you  next time I'll get better sea…",2025-03-10 05:46:27+00:00,18,0
RT @blufury01: @mattrife rocked H-Town tonight!!! My husband leaves for Amsterdam in the morning btw….awesome show and keep up the great wo…,2025-03-10 05:06:27+00:00,10,0
"RT @chumdingo: If you haven’t gotten a chance to see @mattrife, do yourself a favor. Best comedy show I’ve been to and will most definitely…",2025-03-10 05:06:17+00:00,13,0
RT @MaddAshhh: @mattrife show was great in htown.. HE HAD PAUL WALL BRING HIM OUT I damn near fell out of my nose bleed seat hearing him 😭😂…,2025-03-10 04:18:45+00:00,10,0
RT @MistyPromise: Saw #mattrife in Houston tonight! Absolutely amazing show and he shook my hand at the end... softest fkn hands ever!  @ma…,2025-03-10 04:17:29+00:00,12,0
RT @TravisBlackhead: Highlight of the @mattrife Houston show for me: trades his ball cap to a chick for an expensive cowboy hat. Wears the…,2025-03-10 04:17:21+00:00,15,0
"RT @GalaxyGirl_93: Houston show was absolutely AMAZING! Thank you @mattrife for all the laughs, hilarious stories, and for opening up about…",2025-03-10 04:17:11+00:00,9,0
DALLAS!! What a start to the tour! 💥💥 https://t.co/yIsutJUKXa,2025-03-09 21:15:05+00:00,105,842
"@MikeStevensYoD1 Any gifts you can give yo security and they’ll bring to me! So dope, thank ya man!",2025-03-09 20:47:32+00:00,2,20
@AndrewLindsey18 You caught it?!?😂😂,2025-03-09 20:06:28+00:00,2,43
RT @VergilOrtiz: This man thru a fake titty into the crowd after he pierced it with someone’s piercing 😭😭 had us dying the whole time lmao,2025-03-09 20:04:17+00:00,20,0
RT @MgrDantastic: Had a blast at @mattrife’s show tonight! Non-stop laughs and unforgettable memories. Don’t forget — everything’s bigger i…,2025-03-09 08:38:17+00:00,16,0
"RT @MuseMaegan: first show of the tour felt like a fever dream. was absolutely amazing. if you’re ever debating seeing @mattrife, DO IT!",2025-03-09 07:46:40+00:00,7,0
RT @KillmanMcfadden: @mattrife This show was amazing!!!  I highly recommend everyone try to see Matt in person!  Wouldn’t trade the laughte…,2025-03-09 07:46:28+00:00,12,0
RT @aelmendorf1: @mattrife with a banger on the first night of the new #StayGolden Tour!,2025-03-09 07:17:52+00:00,10,0
"RT @ganklanceman: Incredible show tonight! This man was signing titties and throwing them, I’ve never seen anything like it! 🤣🤣🤣",2025-03-09 06:56:11+00:00,13,0
"RT @DFS_Whining: If you chose to spend your time on Harry Hines instead of the American Airlines Center, you definitely missed @mattrife th…",2025-03-09 06:56:00+00:00,8,0
RT @steffanniemaeN: Had so much at the @mattrife show in Dallas 💕 #StayGoldenTour,2025-03-09 06:27:03+00:00,7,0
RT @itsbianey: Plz make yourselves a favor and go see @mattrife live. Best f*cking night ever!! Had so much fun!!,2025-03-09 06:04:27+00:00,9,0
RT @Lilmaget: @mattrife Dude🤣🤣🤣 u ran 30 mins later than u should of to pierce a fake titty one of the best nights of my life it was my fir…,2025-03-09 06:04:14+00:00,11,0
RT @ToriHitz: WHAT A FUN NIGHT!!! I cant feel my face… 😂 Thanks @mattrife for all the incredible laughs!! Thoroughly enjoyed your show! 🫶🏼,2025-03-09 05:50:35+00:00,8,0
RT @JSparks85: @mattrife  such an AMAZING show in Dallas! Loved every minute! I have never laughed so much in my life  #whocaughtthetitty h…,2025-03-09 05:50:27+00:00,8,0
"DALLAS 😂😂😂🍈🍈
 i love y’all to death- wtf just happened?! https://t.co/VmqKMijBTG",2025-03-09 04:45:12+00:00,192,3108
HOUSTON TOMORROW!!! https://t.co/zuuPqU3ERJ,2025-03-08 22:18:07+00:00,27,233
ALABAMA OUTLAWS 😂😅💉✈️ https://t.co/YQm1h5qVQN,2025-03-07 01:31:02+00:00,1237,13625
RT @Gerica__A: Finishing up watching #That90sShow and bam! @mattrife sighting! https://t.co/oh0YhmojAt,2025-03-05 16:27:53+00:00,16,0
"CUMMING, GA 😂😂👕

https://t.co/7MCi99ihXA https://t.co/v2G0IL5BBR",2025-03-04 15:39:05+00:00,43,297
WHEELCHAIR WEDDING 😂♿️🎶 https://t.co/K4ItUuIDba,2025-03-04 02:47:44+00:00,972,11798
RT @InternetH0F: *laughs in healthy blood cells* is killing me 😭 😭 https://t.co/4WFN23l6nr,2025-03-04 02:44:36+00:00,453,0
"CUMMING, GEORGIA 😂😂👕 https://t.co/GmW9Bid72T",2025-02-28 00:07:15+00:00,530,5135
Second place to Jamie Fox will always be an honor 🙏🏼👑 I love yall! https://t.co/RGVOa5tdMu,2025-02-27 03:46:31+00:00,109,1268
RT @mattrife: ATLANTA NOW ON SALE,2025-02-26 00:21:49+00:00,48,0
ATLANTA NOW ON SALE https://t.co/XfUQuwk3Vs,2025-02-25 17:07:37+00:00,48,341
"Man, i feel so old lol I don’t give a fuck about a single thing in the world of pop culture 😂 I’m constantly in a state of “who? What do they? What is a? And?” 👴🏼",2025-02-24 23:59:44+00:00,131,2670
STAGE 4 CLINGER!! 😬😅😂😂🥰 https://t.co/sIxuU9wEfE,2025-02-24 23:53:05+00:00,2385,47720
"ATLANTA!! 
Added 1 more pop-show next Saturday! 
Tickets go on sale tomorrow at noon!

https://t.co/K3TJHrVcEj https://t.co/fED861AInK",2025-02-24 19:39:23+00:00,63,376
KANSAS CITY!!! https://t.co/p9L6B7Y2TU,2025-02-24 04:20:59+00:00,38,388
RT @Ty_DShais: saw @mattrife for the second time tonight and my throat hurts from how much i was laughing 😭 I’m even more stoked for this y…,2025-02-23 03:22:07+00:00,16,0
RT @Luvmyorkez: @mattrife thanks for the amazing show tonight! Can’t wait to see you again in June❤️,2025-02-23 02:00:16+00:00,13,0
RT @Antonio03128054: @mattrife See you in PA !! Sooooo excited 😌😁😁😁 https://t.co/snT9XxnWZT,2025-02-22 05:15:33+00:00,16,0
RED ROCKS!!!!!     Last chance! https://t.co/B8zKkpYEjw,2025-02-21 21:59:46+00:00,36,260
"TOUR STARTS NEXT WEEK!!! 

What cities show are you coming to?",2025-02-20 19:53:18+00:00,38,536
RT @WhitneyCummings: talking about birthing a child with @mattrife and @PaulElia may have been a mentally ill choice- catch their LowKey en…,2025-02-20 00:29:20+00:00,428,0
ATLANTA IS FULL OF ART 😏😂😂🥰🎨 https://t.co/KRV5IqPAtH,2025-02-18 23:48:25+00:00,2254,27598
"TONIGHT at 8pm EST!  Watch from anywhere, online 🥰

Tickets to the online premiere at https://t.co/KId9wyL89a https://t.co/I5l73CL2EJ",2025-02-16 21:26:26+00:00,64,388
"RT @mattrife: NEW COMEDY SPECIAL - SUNDAY
 
https://t.co/H3y34Sa2Ka https://t.co/waVe9c8Apy",2025-02-16 21:25:21+00:00,167,0
RT @sherilynreedus: Tonight!! Let’s gooo! 🥳 @mattrife https://t.co/nzcKNe1wJd,2025-02-16 21:25:09+00:00,13,0
RT @brittanyfizzy12: @mattrife listening to your book and I've been laughing my ass off the whole time 😂 honestly one of the best books I'v…,2025-02-16 04:23:43+00:00,16,0
"RT @wenderella2000: @mattrife Great show tonight in Sandy Springs, GA. Can't wait to see you next December in Orlando! #mattrife #comedy ht…",2025-02-16 04:23:25+00:00,17,0
Hey @StubHub knock this shit off plz https://t.co/o20mBtaE0Z,2025-02-15 19:31:20+00:00,26,279
"NEW COMEDY SPECIAL - SUNDAY
 
https://t.co/H3y34Sa2Ka https://t.co/waVe9c8Apy",2025-02-15 02:58:01+00:00,167,1537
"HAPPY VALENTINES DAY! ❤️
I can’t believe Matthew Steven Rife came out 2 years ago today!! It feels like yesterday and 7 years ago, all at once 😂

If you haven’t seen it… enjoy 🥰

https://t.co/iCAC8FLVnN",2025-02-14 21:12:04+00:00,76,729
RT @ajrocky22: Watching @mattrife great guy https://t.co/Ue6YoKs1Tj,2025-02-14 06:02:39+00:00,14,0
